area;pop;density;nb_pt;work_or_edu_fac;other_fac;cars_per_persons;big_road;insee
5.3537295;20181;3769.5217885027623;4;75;711;0.4827586206896552;309.5128454558891339.809888170499526377.37771717446833235.5802855408596222.22222222222222233.690942722169698.1269107053434829.04935567382833446.1468106548752133.47203264200586107.85149165649949139.088815954921933.107489020682095;91161.0
5.1152035;2385;466.2571098100007;0;5;107;1.0;0;91666.0
9.418319;36207;3844.316591952343;5;93;1387;0.6785714285714286;35.72086550800868;91549.0
2.8143865;60;21.319033473192114;0;0;4;0.0;0;95387.0
12.156125;562;46.23183785951527;0;0;16;0.0;0;91547.0
4.8981585;459;93.70868664213296;0;0;11;0.5;0;95166.0
22.4506955;4454;198.39029040325278;0;9;168;0.625;0;77100.0
12.1810135;13291;1091.1243140810902;5;61;667;0.3548387096774194;220.89998442715574302.1657364996102406.18324967248986404.60496805582216357.27293585084493409.1196318921906134.48510521662436517.2196675190185338.98407511137765416.8512236826427500.15478811774534322.4084683209838240.6648938707623120.48441813258671121.34278775259993149.66650967408873274.0140225841279386.90907521712813509.08970233289176139.3317917737736105.77166030156695239.96676277245874389.8361078251652297.36900043312244273.19778143996405416.573260991955338.1708368799172675.68754405440265250.59481713355973205.04080154992377158.1469232183388471.52886101842785255.4710408249967872.68206946395625;77251.0
6.8522;325;47.43002247453373;0;1;11;0.0;0;95119.0
14.446928;2370;164.04871679294035;0;9;96;0.6666666666666666;0;78465.0
9.6244315;1522;158.13921061207614;2;1;42;0.5;0;77529.0
23.9586425;1484;61.94007026900627;0;3;42;0.5454545454545454;0;77459.0
8.835827;138;15.618232452944133;0;0;6;1.0;0;95157.0
10.7631575;10947;1017.0807218978259;0;21;293;0.36363636363636365;0;78674.0
2.9442285;636;216.01584252037503;0;0;18;0.5714285714285714;532.7676789684144235.13012856454736;78499.0
8.379937;221;26.37251330171098;0;0;12;0.0;0;91613.0
4.027065;646;160.4145947482844;0;0;14;0.0;0;78084.0
12.4409725;913;73.3865459472722;0;2;22;0.0;103.86866583916975160.14387787172123318.01182993993757;77462.0
3.343454;185;55.33200097862869;0;0;15;0.75;269.169683318293422.147304502534883258.56384730152115248.34599870866842183.4089244984607183.408924498460765.13792485692585193.2172791508264427.38564954610015474.84278221601561.95925692458739;95682.0
5.6255915;511;90.83489265084393;0;0;24;0.0;0;78278.0
14.197529;23741;1672.1923934791753;6;139;1008;0.448;253.24463003797715225.6275702777911678.5276883492812535.600371769556844126.17542192503457103.47563046492373264.510961047326860.9674885336581193.2884642083182164.0538173487846337.00983384630832533.9435427211650123.46649975903894423.671300510073544.0726497458976267.133285852136939.9038970112595474.2983885533359368.232055884446852.11116175516703109.11160229512213155.6649095958663317.3971606537512725.5200359973770217.650342890826163235.66790480881593246.2515135416162146.000979796438124.04625409646332681.17385037117992201.984349363966598.66267732877478264.2416798977011264.2416798977011125.14588748574421154.6860817870618218.642156211614303223.44784309863917;95572.0
13.8033285;1622;117.50788949201637;0;0;48;1.3333333333333333;0;91593.0
3.1134215;3400;1092.0461620760311;0;23;200;0.0;432.9877617408368535.066468748197477.20131623454033189.828544102101965.70603589924764;77121.0
4.492697;872;194.09276877563744;0;1;19;0.5333333333333333;0;95529.0
5.732518;674;117.57485977366316;0;0;17;0.875;0;78276.0
7.086451;27676;3905.481036981699;0;62;897;0.28;0;95680.0
15.7939535;20331;1287.2647750925694;8;49;787;0.5735294117647058;314.641428195183440.21796848594751376.2907623432834514.5771139720104514.8930937720675615.8997340302861465.92813214285695608.2349505827615564.4366962426817441.8995693555087546.820508405984485.53001668475248350.3172938103264104.92130575549058565.4195994552952581.3418124019195611.6160249900984572.0425512065948633.9782282672576409.084139109885865.25597803704107255.59618216013794;77350.0
11.9903915;2200;183.48024749650585;0;6;81;0.75;0;91511.0
8.1616875;18281;2239.8554220557944;0;47;625;0.5555555555555556;0;78383.0
4.4413;4382;986.6480534978497;0;14;170;0.6470588235294118;0;77055.0
6.415014;978;152.45485044927415;0;2;29;0.4;0;77293.0
2.4801095;376;151.60620932261256;0;0;11;0.0;0;77007.0
7.930826;333;41.98806026005362;0;0;13;0.0;0;95690.0
